transaction_id,customer_id,product_id,product_name,category,quantity_sold,unit_price,transaction_date,store_id,store_location,inventory_level,reorder_point,reorder_quantity,supplier_id,supplier_lead_time,customer_age,customer_gender,customer_income,customer_loyalty_level,payment_method,promotion_applied,promotion_type,weather_conditions,holiday_indicator,weekday,stockout_indicator,forecasted_demand,actual_demand
1,1793,6500,Colgate Toothpaste,Toothpaste,3,3.5,2023-09-06,7989,East Thomasville,480,28,174,4510,7,22,Other,30218,Platinum,Debit Card,False,Buy One Get One,Cloudy,False,Wednesday,True,125,80
2,7865,1565,Colgate Toothpaste,Toothpaste,5,3.5,2023-01-20,7551,Lake Dawn,263,21,161,7612,13,56,Male,66630,Gold,Debit Card,True,None,Snowy,False,Friday,False,106,133
3,259,1212,Colgate Whitening Strips,Teeth Whitening,5,25.0,2023-12-03,5893,West Melvinfort,343,27,153,2853,12,38,Other,102645,Silver,Debit Card,False,Discount,Sunny,True,Sunday,True,68,138
4,4059,8850,Colgate Whitening Strips,Teeth Whitening,4,25.0,2024-11-23,722,Jasonview,439,24,183,5672,14,23,Male,86350,Silver,Mobile Payment,True,Discount,Sunny,False,Saturday,False,54,115
5,8979,9436,Colgate Whitening Strips,Teeth Whitening,4,25.0,2023-09-01,8198,Williamsville,341,46,274,646,8,51,Other,116948,Gold,Cash,False,Discount,Cloudy,True,Friday,True,147,44
6,9522,8941,Colgate Whitening Strips,Teeth Whitening,2,25.0,2024-11-16,1411,Barrberg,265,44,119,368,9,65,Male,29646,Platinum,Mobile Payment,True,None,Cloudy,True,Saturday,True,71,98
7,9009,9814,Colgate Toothbrush,Toothbrush,7,2.0,2024-07-05,6334,East Frankton,258,49,103,9381,14,30,Other,46837,Bronze,Cash,True,None,Snowy,False,Friday,True,52,44
8,9783,2713,Colgate Mouthwash,Mouthwash,8,5.0,2024-08-25,3161,Stephenville,62,42,205,9000,3,66,Female,36398,Platinum,Credit Card,False,Buy One Get One,Rainy,False,Sunday,False,125,103
9,3115,9806,Colgate Toothbrush,Toothbrush,1,2.0,2024-08-31,6586,Hillborough,122,46,226,4664,4,30,Other,44310,Gold,Credit Card,True,Discount,Cloudy,True,Saturday,False,121,40
10,3640,4379,Colgate Whitening Strips,Teeth Whitening,5,25.0,2023-03-01,9101,Sparksfort,410,29,292,2305,14,24,Other,56817,Bronze,Debit Card,False,Discount,Snowy,True,Wednesday,False,66,111
11,418,2523,Colgate Toothpaste,Toothpaste,10,3.5,2023-09-26,4438,Thompsonmouth,75,47,169,2513,3,61,Male,91217,Platinum,Mobile Payment,True,None,Rainy,True,Tuesday,True,112,129
12,2200,1255,Colgate Toothpaste,Toothpaste,7,3.5,2023-03-21,5415,East Christopherhaven,235,23,216,4695,7,65,Male,87827,Silver,Credit Card,True,Buy One Get One,Sunny,True,Tuesday,True,57,108
13,5459,7892,Colgate Mouthwash,Mouthwash,9,5.0,2024-04-28,5916,South Kerri,80,34,261,595,14,42,Female,117862,Platinum,Cash,True,None,Cloudy,True,Sunday,True,81,133
14,8725,2836,Colgate Toothpaste,Toothpaste,10,3.5,2024-11-22,2133,Everettfort,429,23,298,7160,4,67,Other,45942,Gold,Mobile Payment,False,Discount,Cloudy,True,Friday,False,120,67
